tweet_id,datetime,text,user,likes,retweets,sentiment
gen_3551,2024-01-01 08:12:44,"Bitcoin starting 2024 with a bang. The ETF anticipation is real.",user_19,6700,1800,positive
gen_3552,2024-01-01 13:45:10,"Happy New Year! 2024 is the year of institutional Bitcoin adoption.",user_84,2100,450,positive
gen_3553,2024-01-02 09:30:05,"Rumors of SEC meeting with exchanges today. Something is cooking.",user_30,8900,2400,positive
gen_3554,2024-01-02 15:22:18,"Bitcoin price holding steady despite the volatility in traditional markets.",user_72,6700,1800,positive
gen_3555,2024-01-03 10:05:59,"Matrixport report says ETF might be rejected. Markets are panicking.",user_99,15000,5600,negative
gen_3556,2024-01-03 16:00:01,"Flash crash today was just a leverage flush. Fundamentals haven't changed.",user_11,3100,780,neutral
gen_3557,2024-01-03 23:33:12,"Bought the dip. Panic sellers will regret this in a week.",user_55,5600,1400,positive
gen_3558,2024-01-04 07:45:30,"ETF approval window is opening soon. Stay focused on the long term.",user_48,12000,4500,positive
gen_3559,2024-01-04 14:20:10,"The Fed meeting notes indicate rates might stay high for longer. Tough.",user_20,2300,540,negative
gen_3560,2024-01-05 11:10:45,"BlackRock just filed another amendment. They are definitely getting ready.",user_61,3400,890,positive
gen_3561,2024-01-05 19:55:23,"Seeing huge inflows into stablecoins. People are waiting for the signal.",user_10,6700,1800,positive
gen_3562,2024-01-06 08:05:12,"Bitcoin mining difficulty at all time high. The network is indestructible.",user_41,12000,4500,positive
gen_3563,2024-01-06 22:40:00,"The SEC is playing games but the math doesn't lie. BTC is inevitable.",user_77,4500,1100,positive
gen_3564,2024-01-07 10:15:33,"Satoshi's vision is coming to Wall Street. Historic week ahead.",user_34,3100,780,positive
gen_3565,2024-01-07 23:58:19,"I don't care about the price today. I care about the cycle top in 2025.",user_60,5600,1400,positive
gen_3566,2024-01-08 12:12:44,"Gary Gensler is warning about crypto again. Same old script.",user_92,2100,450,negative
gen_3567,2024-01-08 20:05:01,"Massive volume on Bitcoin futures today. The big boys are here.",user_20,8900,2400,positive
gen_3568,2024-01-09 09:30:15,"The SEC Twitter account was hacked! Fake ETF approval news. Total chaos.",user_12,6700,1800,negative
