tweet_id,datetime,text,user,likes,retweets,sentiment
gen_3051,2024-12-10 08:15:22,"The SEC is finally being challenged in court. Massive win for clarity!",user_44,12000,3400,positive
gen_3052,2024-12-10 10:45:10,"Politicians only care about Bitcoin when it is election season. Don't be fooled.",user_19,5600,1200,negative
gen_3053,2024-12-10 11:30:05,"MiCA regulation in Europe is a double-edged sword. Safety vs innovation.",user_88,1200,340,neutral
gen_3054,2024-12-10 14:22:18,"Bitcoin is the ultimate exit from failing state-controlled currencies.",user_21,8900,2100,positive
gen_3055,2024-12-10 15:12:44,"Rumors of another crypto ban in Asia. FUD season is officially back.",user_77,3400,980,negative
gen_3056,2024-12-11 09:05:59,"The US is falling behind in blockchain innovation due to aggressive regulation.",user_33,11000,4500,negative
gen_3057,2024-12-11 12:00:01,"Candidate X promised to make BTC a strategic reserve asset. Huge news!",user_99,2300,560,positive
gen_3058,2024-12-11 21:33:12,"CBDCs are just high-tech surveillance tools. Bitcoin is privacy.",user_15,15000,6700,positive
gen_3059,2024-12-12 07:45:30,"Senate hearing on crypto was a disaster. They don't understand wallets.",user_44,4200,1100,negative
gen_3060,2024-12-12 15:20:10,"Institutional money won't enter until the regulatory fog clears.",user_22,3100,890,neutral
gen_3061,2024-12-13 10:10:45,"El Salvador proving that Bitcoin can be legal tender. Nations are watching.",user_67,1900,430,positive
gen_3062,2024-12-13 18:55:23,"Taxing unrealized crypto gains is a direct attack on innovation.",user_10,25000,9800,negative
gen_3063,2024-12-14 09:05:12,"The IMF keeps warning countries against BTC. That is a bullish signal.",user_55,4500,1200,positive
gen_3064,2024-12-14 22:40:00,"Bitcoin does not have a lobbyist, it has a protocol. Unstoppable.",user_81,7800,2300,positive
gen_3065,2024-12-15 11:15:33,"China banning Bitcoin again? At this point, nobody even cares.",user_39,2100,650,neutral
gen_3066,2024-12-15 23:58:19,"Privacy coins delisted due to gov pressure. The war on privacy is on.",user_61,5600,1400,negative
gen_3067,2024-12-16 13:12:44,"SEC regulation by enforcement is killing the American tech dream.",user_94,3400,900,negative
